age,workclass,salary,education_rank,marital-status,occupation,race,sex,mins_beerdrinking_year,mins_exercising_year,works_hours,tea_per_year,coffee_per_year
24.0,private,66742.75,13,Never-married,sales,caucasian,Female,0.0,0.0,40,253.0,223.0
64.0,private,119424.25,9,Married,executive,caucasian,Male,0.0,0.0,16,70.0,207.0
30.0,private,27840.75,10,Married,executive,caucasian,Male,0.0,0.0,40,498.0,10.0
,private,183548.25,10,Never-married,executive,caucasian,Female,,0.0,50,,497.0
36.0,government,18648.25,10,Married,executive,caucasian,Male,0.0,0.0,40,,205.0
40.0,government,8554.5,9,Married,craft,caucasian,Male,0.0,0.0,40,321.0,284.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
24.0,private,46757.75,14,Never-married,sales,not_caucasian,Female,,0.0,38,385.0,241.0
38.0,government,26059.0,12,Divorced,clerical,caucasian,Female,1471.0,0.0,40,298.0,109.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
57.0,self_employed,107856.5,9,Married,clerical,caucasian,Female,0.0,,2,371.0,
25.0,private,22927.25,12,Never-married,tech,caucasian,Female,0.0,0.0,45,228.0,268.0
34.0,self_employed,63576.0,9,Married,farm,caucasian,Male,4508.0,0.0,90,204.0,96.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
,private,43596.5,9,Never-married,service,caucasian,Female,0.0,0.0,24,21.0,408.0
33.0,private,,14,Divorced,executive,caucasian,Female,0.0,0.0,50,426.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
38.0,government,39612.75,13,Divorced,professional,caucasian,Female,914.0,0.0,40,454.0,
,private,7143.0,7,Never-married,craft,caucasian,Male,0.0,0.0,40,329.0,
35.0,government,24786.5,13,Married,lawenf,caucasian,Male,0.0,0.0,50,378.0,489.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
49.0,government,46450.0,14,Divorced,professional,not_caucasian,Female,7430.0,0.0,40,209.0,199.0
,,37346.25,9,Never-married,,caucasian,Female,0.0,0.0,30,,486.0
46.0,government,49162.25,9,Divorced,clerical,caucasian,Male,0.0,0.0,40,288.0,316.0
35.0,private,41548.25,9,Divorced,factory,caucasian,Male,0.0,0.0,40,389.0,407.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
34.0,government,42804.0,13,Never-married,professional,caucasian,Male,0.0,0.0,50,496.0,197.0
20.0,private,11919.5,9,Never-married,craft,caucasian,Male,0.0,0.0,40,485.0,144.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
44.0,self_employed,34755.75,10,Married,sales,caucasian,Male,0.0,0.0,40,292.0,
47.0,private,45340.75,14,Married,professional,caucasian,Male,0.0,0.0,40,162.0,305.0
36.0,private,73947.75,9,Divorced,tech,caucasian,Female,0.0,0.0,30,,
32.0,private,39131.5,10,Never-married,tech,caucasian,Male,0.0,0.0,33,95.0,
30.0,private,17594.25,9,Divorced,professional,caucasian,Female,0.0,,40,213.0,195.0
53.0,private,27984.75,13,Married,service,caucasian,Male,0.0,0.0,35,,332.0
23.0,government,25336.25,13,Never-married,professional,caucasian,Female,0.0,0.0,40,337.0,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
47.0,private,59546.25,13,Divorced,clerical,caucasian,Female,0.0,0.0,40,,321.0
23.0,private,45347.0,9,Divorced,service,caucasian,Female,0.0,0.0,40,152.0,
14.0,private,47816.25,10,Never-married,sales,caucasian,Male,0.0,0.0,30,,
49.0,government,54113.25,11,Divorced,executive,not_caucasian,Female,0.0,0.0,45,312.0,402.0
53.0,government,30752.75,14,Married,executive,caucasian,Male,0.0,,60,,155.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
65.0,,32056.0,3,Married,,caucasian,Male,0.0,0.0,25,247.0,
23.0,private,62429.0,9,Never-married,tech,caucasian,Male,0.0,0.0,45,217.0,
46.0,private,79790.75,9,Married,craft,not_caucasian,Male,0.0,0.0,40,283.0,16.0
27.0,private,48096.0,15,Married,clerical,caucasian,Male,0.0,0.0,40,376.0,223.0
18.0,self_employed,15245.25,7,Never-married,service,caucasian,Female,0.0,0.0,4,66.0,407.0
33.0,private,63908.75,3,Married,factory,not_caucasian,Male,0.0,0.0,40,,
50.0,government,27925.0,14,Never-married,executive,caucasian,Female,0.0,0.0,50,302.0,178.0
40.0,private,34061.0,10,Married,clerical,caucasian,Female,0.0,0.0,40,150.0,307.0
38.0,government,36814.5,9,Never-married,trucker,caucasian,Male,0.0,0.0,40,36.0,141.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
,government,45229.0,10,Divorced,clerical,caucasian,Female,0.0,0.0,38,7.0,29.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
36.0,self_employed,120496.75,10,Married,professional,caucasian,Male,0.0,0.0,35,,
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
61.0,private,88257.75,9,Married,trucker,caucasian,Male,0.0,0.0,60,360.0,257.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
23.0,government,40637.75,13,Never-married,professional,not_caucasian,Female,0.0,0.0,35,26.0,474.0
14.0,private,18088.75,10,Never-married,service,caucasian,Male,0.0,0.0,20,419.0,
41.0,private,16552.0,15,Divorced,professional,caucasian,Female,0.0,0.0,45,,361.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
18.0,private,62980.75,7,Never-married,sales,caucasian,Female,0.0,0.0,15,254.0,86.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
59.0,self_employed,20885.5,12,Divorced,tech,caucasian,Male,0.0,0.0,40,175.0,499.0
33.0,private,8643.0,9,Married,sales,caucasian,Male,0.0,0.0,40,,474.0
51.0,private,39213.0,11,Widowed,tech,caucasian,Female,0.0,0.0,8,,
36.0,private,36211.0,9,Married,trucker,caucasian,Male,0.0,0.0,42,,
29.0,private,13532.75,10,Never-married,sales,caucasian,Male,0.0,0.0,30,,387.0
